Entity Name,Entity ID,Fiscal Year,Valuation Date,Name of Actuary,Actuarial Accrued Liability (AAL),Actuarial Value of Assets (AVA),Unfunded Actuarial Accrued Liability (UAAL) (AVA Basis),"Funded Ratio (AVA Basis) (rounded to nearest hundredth, EXAMPLE: 99.99)",Annual Covered Payroll (ACP),UAAL as a Percentage of ACP (AVA Basis),Method Used to Determine AAL,"Please Specifiy ""Other"" Method",Market Value of Assets (MVA),UAAL (MVA Basis),Funding Ratio (MVA Basis)
City of Oakland Fire and Police Retirement System,7222,2024,07/01/2023,Cheiron,522457000,425449000,97008000,81.43,0,,Entry Age,NULL,0,522457,
City of Pasadena Fire and Police Retirement System,7239,2024,06/30/2024,Foster & Foster,119513000,99755000,19758000,83.47,0,161.29,Entry Age,NULL,98630000,20883000,82.53
City of Piedmont Police and Fire Pension Plan,7224,2024,06/30/2024,Foster & Foster,788889,18585491,-17796602,2355.91,0,,Aggregate,NULL,18585491,-17796602,2355.91
City of Richmond General Pension Plan,7227,2024,06/30/2023,VIA Actuarial Solutions,358539,0,358539,,0,,Entry Age,NULL,0,,
City of Richmond Police and Firemen's Pension Plan,7228,2024,06/30/2023,VIA Actuarial Solutions,5494894,0,5494894,,0,,Entry Age,NULL,,,
City of Sacramento City Employees' Retirement System,7245,2024,06/30/2024,Foster & Foster Actuaries and Consultants,249409000,243646000,5763000,97.69,87000,6624.14,Entry Age,NULL,253497000,-4088000,101.64
City of San Clemente Restated Employees' Retirement Plan,7244,2024,06/30/2023,Foster & Foester Actuaries & Consultants,44897000,26021000,18876000,57.96,404023,4672.01,Entry Age,NULL,26021000,18876000,57.96
City of San Jose Federated City Employees' Retirement System,7249,2024,06/30/2023,Cheiron,4965668000,2889956000,2075712000,58.2,434174000,478.08,Entry Age,NULL,2907314000,2058354000,58.55
City of San Jose Police and Fire Retirement Plan,7250,2024,06/30/2023,Cheiron,5908554000,4739742000,1168812000,80.22,265551000,440.15,Entry Age,NULL,4721488000,1187066000,79.91
City of Santa Barbara Police and Fire Pension Fund,7248,2024,06/30/2023,Foster & Foster,93232,,,,0,,Other,Actuarial cost methods are only applicable when you have active employees.,,,
Contra Costa County Employees' Retirement Association,7259,2024,12/31/2022,Segal Consulting,11912228880,10861822062,1050406818,91.18,1073886785,97.81,Entry Age,NULL,10053668812,1858560068,84.4
Contra Costa Water District Retirement Plan,7172,2024,06/30/2023,VIA Actuarial,333571766,259265405,74306361,77.72,40147688,185.08,Entry Age,NULL,251238748,82333018,75.32
Desert Hospital Retirement Protection Plan,7398,2024,06/30/2024,Nyhart,2715761,4444098,-1728337,163.64,0,,Entry Age,NULL,,,
East Bay Municipal Utility District Employees' Retirement System,7168,2024,06/30/2023,Segal Consulting,2994429150,2251690803,742738347,75.2,266278000,278.93,Entry Age,NULL,2194142000,800287150,73.27
Fresno County Employees' Retirement Association,7260,2024,06/30/2022,Segal Consulting,6918859000,6134136000,784723000,88.66,491461957,159.67,Entry Age,NULL,5623399000,1295460000,81.28
Golden Gate Transit District Amalgamated Retirement Plan,7144,2024,01/01/2023,Cheiron,198631893,95384216,103247677,48.02,13153000,,Entry Age,NULL,87079579,111552314,43.84
Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan,13131,2024,06/30/2024,Foster & Foster,11755779,10113033,1642746,86.03,3242646,50.66,Entry Age,NULL,10136828,1618951,86.23
Imperial County Employees' Retirement System,7261,2024,06/30/2024,The Segal Group,1309119,1208083,101036,92.28,149618000,67.53,Entry Age,NULL,1197046,112073,91.44
Judges' Retirement System I,7205,2024,06/30/2023,CalPERS Actuarial & Employer Services Division,2667952335,50015399,2617936936,1.87,19330022,13543.37,Other,Entry Age Normal Cost,500185399,2167766936,18.75
Judges' Retirement System II,7206,2024,06/30/2023,CalPERS Actuarial & Employer Services Division,2361939313,2333468381,28470932,98.79,388369534,7.33,Other,Entry Age Normal Cost,2333468381,28470932,98.79
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2024,06/30/2023,Willis Towers Watson,307477333,286250863,21226470,93.1,0,,Entry Age,NULL,286250865,21226468,93.1
Kern County Employees' Retirement Association,7262,2024,06/30/2024,Segal Consulting,8332592000,5822219000,2510373000,69.87,797698000,314.7,Entry Age,NULL,5732232000,2600360000,68.79
Legislators' Retirement System,7207,2024,06/30/2023,CalPERS Actuarial & Employer Services Division,97069061,96998773,70288,99.93,0,,Other,Entry Age Normal Cost,96998773,70288,99.93
Long Beach Public Transportation Company Retirement Plan - Contract Employees,7198,2024,07/01/2024,NWPS,113777894,87997830,25780064,77.34,35879000,71.85,Frozen Entry Age,NULL,87997830,25780064,77.34
Long Beach Public Transportation Company Retirement Plan - Salaried Employees,7199,2024,07/01/2024,NWPS,37356318,34157737,3198581,91.44,4086524,78.27,Frozen Entry Age,NULL,34157737,3198581,91.44
Los Angeles City Employees' Retirement System,7237,2024,06/30/2024,Segal,26492518234,19445576600,7046941634,73.4,2730282217,258.1,Entry Age,NULL,19144037018,7348481216,72.26
Los Angeles County Employees' Retirement Association,7263,2024,06/30/2023,Milliman,90651092000,72414936000,18236156000,79.88,9425689968,193.47,Entry Age,NULL,76138833103,14512258897,83.99
Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan,9235,2024,12/31/2023,Willis Towers Watson,55300575,46601374,8699201,84.27,733472,1186.03,Projected Unit Credit,NULL,43108876,12191699,77.95
Los Angeles County Transportation Authority Maintenance Employees' Retirement System,7161,2024,01/01/2024,Rael & Letson,899946090,721796382,178149708,80.2,217061000,82.07,Entry Age,NULL,684360134,215585956,76.04
Los Angeles County Transportation Authority Non-Contract Employees' Retirement System,7162,2024,12/31/2023,Willis Tower Watson,139001763,117813575,21188188,84.76,1679083,1261.89,Projected Unit Credit,NULL,109999284,29002479,79.14
Los Angeles County Transportation Authority SMART - TD Retirement,7163,2024,12/31/2023,Willis Tower Watson,923213056,821821484,101391572,89.02,285415311,35.52,Projected Unit Credit,NULL,779079798,144133258,84.39
Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System,7160,2024,12/31/2023,Willis Towers Watson,219073741,196419840,22653901,89.66,64962783,34.87,Projected Unit Credit,NULL,187174827,31898914,85.44
Marin County Employees' Retirement Association,7264,2024,06/30/2023,Cheiron,3473000000,3144700000,328300000,90.55,0,,Entry Age,NULL,3144663241,328336759,90.55
Marin County Transit District Service Credit Replacement Plan,13268,2024,06/30/2024,Island Actuarial Services,459428,370717,88711,80.69,0,,Entry Age,NULL,370717,88711,80.69
Mendocino County Employees' Retirement Association,7265,2024,06/30/2024,The Segal Company,963282735,714967069,248315666,74.22,88662528,,Entry Age,NULL,715112157,248170578,74.24
Merced County Employees' Retirement Association,7266,2024,06/30/2022,Cheiron,1610209714,1253752672,356457042,77.86,144006298,247.53,Other,Entry Age Normal,1253752672,356457042,77.86
Modesto Irrigation District Basic Retirement Plan,7186,2024,01/01/2024,Cheiron Inc.,532050432,451510258,80540174,84.86,50760174,158.67,Entry Age,NULL,500321114,31729318,94.04
Orange County Employees' Retirement System,7267,2024,12/31/2022,Segal Consulting,25386669000,20691659000,4695010000,81.51,2124678000,220.98,Entry Age,NULL,19534631000,5852038000,76.95
Public Agency Retirement System Defined Benefit Plans,7215,2024,06/30/2022,Milliman USA,11578287,7359785,4218502,63.57,164821953,2.56,Other,Discount Rate,,,
Public Employees' Retirement Fund (PERF) A,12892,2024,06/30/2023,CalPERS Actuarial &  Employer Services Division,650821000000,464491000000,186330000000,71.37,67833000000,274.69,Entry Age,NULL,464491000000,186330000000,71.37
Public Employees' Retirement Fund (PERF) B,12893,2024,06/30/2023,CalPERS Actuarial &  Employer Services Division,,,,,0,,Other,Individual Entry Age Normal,,,
Public Employees' Retirement Fund (PERF) C,12894,2024,06/30/2023,CalPERS Actuarial &  Employer Services Division,,,,,0,,Other,Individual Entry Age Normal,,,
Sacramento County Employees' Retirement System,7268,2024,06/30/2024,Segal,15002017000,13209968000,1792049000,88.05,1330913097,134.65,Entry Age,NULL,13309632000,1692385000,88.72
Sacramento Regional Transit District ATU Employees' Retirement Plan,12847,2024,07/01/2023,Cheiron Inc,223482409,169985686,53496723,76.06,43423598,123.2,Entry Age,NULL,166073676,57408733,74.31
Sacramento Regional Transit District IBEW Employees' Retirement Plan,12848,2024,07/01/2023,Cheiron Inc,101701322,76012624,25688698,74.74,16996391,151.14,Entry Age,NULL,74460071,27241251,73.21
Sacramento Regional Transit District Salaried Employees' Retirement Plan,7165,2024,07/01/2023,Cheiron Inc,192344323,133093721,59250602,69.2,33041904,179.32,Entry Age,NULL,130990428,61353895,68.1
Salinas Valley Memorial Healthcare District Employees Pension Plan,13351,2024,12/31/2023,Willis Towers Watson,430143285,486845245,-56701960,113.18,151837187,,Other,Entry Age Normal for PEPRA participants.  Traditional Unit Credit for Others.,459538695,-29395410,106.83
San Bernardino County Employees' Retirement Association,7269,2024,06/30/2024,Segal Consulting Co,17372252000,15159420000,2212832000,87.26,1985692000,,Entry Age,NULL,15248225000,2124027000,87.77
San Diego City Employees' Retirement System,7246,2024,06/30/2023,Cheiron,14097817406,10561793548,3536023858,74.92,1025740440,344.73,Entry Age,NULL,10598771204,3499046202,75.18
San Diego County Employees' Retirement Association,7270,2024,06/30/2024,Segal,22669740000,17567951000,5101789000,77.5,1861323904,274.09,Entry Age,NULL,17619364000,5050376000,77.72
San Diego Transit Corporation Employees' Retirement Plan,7200,2024,06/30/2024,Cheiron,347621403,198907997,148713406,57.22,23688509,627.79,Entry Age,NULL,192944763,154676640,55.5
San Francisco City and County Employees' Retirement System,7247,2024,07/01/2023,Cheiron,35351967000,34137005000,1214962000,96.56,4398687239,,Entry Age,NULL,33688428000,1663539000,95.29
San Joaquin County Employees' Retirement Association,7271,2024,01/01/2023,Cheiron,5674662702,4084688496,1589974206,71.98,539642958,294.63,Entry Age,NULL,3817752762,1856909940,67.28
San Joaquin Regional Transit District Contract Employees' Retirement Plan,7166,2024,07/01/2023,Foster & Foster Actuaries and Consultants,80315000,52598000,27717000,65.49,9581000,289.29,Entry Age,NULL,50209000,30106000,62.52
San Luis Obispo County Pension Trust,7272,2024,01/01/2023,Cheiron,2622192000,1679561000,942631000,64.05,245307336,384.27,Entry Age,NULL,1594492000,1027700000,60.81
San Mateo County Employees' Retirement Association,7273,2024,06/30/2024,Milliman,7418282000,6498988000,919294000,87.61,676865990,,Entry Age,NULL,6481692000,936590000,87.37
Santa Barbara County Employees' Retirement System,7274,2024,06/30/2024,Cheiron,4922924000,4132090000,790834000,83.94,440152000,179.67,Entry Age,NULL,4132090000,790834000,83.94
Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan,7167,2024,01/01/2024,Cheiron Inc.,907138209,707433662,199704547,77.99,160018530,124.8,Entry Age,NULL,674371413,232766796,74.34
Self-Insured Schools of California Defined Benefit Plan,7183,2024,12/31/2023,Total Compensation Systems,68398755,61723108,6675647,90.24,112238366,5.95,Projected Unit Credit,NULL,65952520,2446235,96.42
Sonoma County Employees' Retirement Association,7275,2024,12/31/2023,The Segal Group,3730227000,3500687000,229540000,93.85,457288313,50.2,Entry Age,NULL,3481146000,249081000,93.32
Stanislaus County Employees' Retirement Association,7276,2024,06/30/2022,Cheiron,3379554000,2603763000,775791000,77.04,357174000,217.2,Entry Age,NULL,2526425344,853128656,74.76
Sunline Transit Retirement Income Plan - Bargaining Unit Personnel,7182,2024,01/01/2023,Nyhart,35282743,38864230,-3581487,110.15,9378110,-38.19,Entry Age,NULL,34753786,528957,98.5
Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel,7400,2024,01/01/2023,Nyhart,36221609,38948434,-2726825,107.53,5734757,-47.55,Entry Age,NULL,34860206,1361403,96.24
Tulare County Employees' Retirement Association,7277,2024,06/30/2022,CHEIRON,2047350000,1840109000,207241000,89.88,293444953,70.62,Entry Age,NULL,1705307000,342043000,83.29
Turlock Irrigation District Pension Plan,7187,2024,01/01/2024,Nyhart,455215429,422562787,32652642,92.83,49868702,65.48,Entry Age,NULL,408089177,47126252,89.65
University of California Retirement Plan,7211,2024,07/01/2024,Segal Consulting,116497210000,96053525000,20443685000,82.45,16694399736,109.6,Entry Age,NULL,98689566000,17807644000,84.71
Ventura County Employees' Retirement Association,7278,2024,06/30/2024,Segal Company,8403987000,8148479000,255508000,96.96,954250417,26.78,Entry Age,None.,8292116726,111870274,98.67
West Contra Costa Healthcare District Successor Retirement Plan,8275,2024,07/01/2024,USI Consulting Group,12465306,9080698,3384608,72.85,0,,Entry Age,NULL,9190931,3274375,73.73
AC Transit Employees' Retirement Plan,7159,2023,01/01/2022,Cheiron,1084688403,788654000,296034403,72.71,177734000,166.56,Entry Age,NULL,837867000,246821403,77.24
Alameda County Employees' Retirement Association,7258,2023,12/31/2022,Segal,11415120000,9923019000,1492101000,86.93,1258026000,118.61,Entry Age,NULL,9206534000,2208586000,80.65
Antelope Valley Hospital Medical Center Retirement Plan,7148,2023,07/01/2022,Milliman,462651485,310014672,152636813,67.01,154615246,98.72,Entry Age,NULL,289541716,173109769,62.58
California State Teachers' Retirement System,7209,2023,06/30/2022,Milliman,346089000000,257537000000,88552000000,74.41,37482000000,237.66,Entry Age,NULL,260286000000,85803000000,75.21
City of Alameda Police and Fire Pension 1079 and 1082,7218,2023,06/30/2023,Precision Actuarial Inc. & GovInvest,2870424,0,2870424,,0,,Other,Mortality - Mortality Improvement Scale MP 2014 with 15 years convergence to 2023,0,2870424,
City of Albany Police and Fire Relief Pension Fund,7219,2023,10/25/2023,GovInvest,11043324,3065468,7977856,27.76,0,,Entry Age,NULL,7977856,3065468,72.24
City of Berkeley Safety Members' Pension Fund,7220,2023,06/30/2023,Bartel Associates LLC,845616,0,845616,,0,,Other,Average remaining lifetime of participants,0,,
City of Concord Retirement System,7230,2023,06/30/2023,Foster & Foster,53104,29171,23933,54.93,0,,Entry Age,NULL,29171,23933,54.93
City of Delano Employee Pension Plan,7235,2023,07/01/2023,Nyhart,67865056,48137116,19727940,70.93,9924784,203.85,Entry Age,NULL,43761015,24104041,64.48
City of El Cerrito Employees' Pension Trust Fund,7225,2023,09/23/2021,NULL,,,,,85000,,Projected Unit Credit,NULL,,,
City of Emeryville Pension Plan,7221,2023,06/30/2019,Foster & Foster (Bartel Assoc. LLC),100090,0,100090,,0,,Projected Unit Credit,NULL,0,100090,
City of Eureka Fire and Police Retirement System,7233,2023,06/30/2023,GovInvest,1504102,,,,0,,Other,Straight Line,,,
