Entity Name,Entity ID,Fiscal Year,Valuation Date,Name of Actuary,Actuarial Accrued Liability (AAL),Actuarial Value of Assets (AVA),Unfunded Actuarial Accrued Liability (UAAL) (AVA Basis),"Funded Ratio (AVA Basis) (rounded to nearest hundredth, EXAMPLE: 99.99)",Annual Covered Payroll (ACP),UAAL as a Percentage of ACP (AVA Basis),Method Used to Determine AAL,"Please Specifiy ""Other"" Method",Market Value of Assets (MVA),UAAL (MVA Basis),Funding Ratio (MVA Basis)
Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan,7167,2017,06/30/2017,Cheiron Inc,701581204,531466869,170114335,75.8,131544000,129.3,Entry Age,NULL,531466869,170114335,76
Self-Insured Schools of California Defined Benefit Plan,7183,2017,12/31/2016,Lou Filliger FSA,44472286,42950064,1522222,96.6,94039000,,Projected Unit Credit,NULL,42923075,1549211,97
Sonoma County Employees' Retirement Association,7275,2017,12/31/2016,Segal Consulting,2807398000,2399171000,408227000,85.5,356129644,114.6,Entry Age,NULL,2414828000,392570000,86
Stanislaus County Employees' Retirement Association,7276,2017,06/30/2015,Cheiron Inc.,2391522000,1763629000,627893000,73.8,255646516,245.6,Entry Age,NULL,1772913713,618608287,74
Sunline Transit Retirement Income Plan - Bargaining Unit Personnel,7182,2017,01/01/2016,Nyhart,22559195,20450576,2108619,90.7,9306674,22.7,Entry Age,NULL,,22559195,
Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel,7400,2017,01/01/2016,Nyhart,23432961,21434841,1998120,91.5,4429828,45.1,Entry Age,NULL,21437959,1995002,91
Tulare County Employees' Retirement Association,7277,2017,06/30/2015,Cheiron,1358435,1156587,201848,85.1,239054767,0.1,Entry Age,NULL,1101172,257263,81
Turlock Irrigation District Pension Plan,7187,2017,01/01/2016,Nyhart,289125728,227666200,61459528,78.7,35244750,174.4,Entry Age,N/A,218079478,71046250,75
University of California Retirement Plan,7211,2017,07/01/2017,Segal Consulting,72965272000,61884530000,11080742000,84.8,12412591000,89.3,Entry Age,NULL,62114261000,10851011000,85
Ventura County Employees' Retirement Association,7278,2017,06/30/2017,Segal Consulting,5703396000,4959070000,744326000,87,744917386,99.9,Entry Age,NULL,4964247000,739149000,87
West Contra Costa Healthcare District Successor Retirement Plan,8275,2017,06/30/2017,WILLIS TOWERS WATSON,15899212,3098074,12801138,19.5,0,,Projected Unit Credit,NULL,,15899212,
