Entity Name,Entity ID,Fiscal Year,1 year_Dollar-Weighted Rate of Return,3 year_Dollar-Weighted Rate of Return,5 year_Dollar-Weighted Rate of Return,1 year_Time-Weighted Rate of Return,3 year_Time-Weighted Rate of Return,5 year_Time-Weighted Rate of Return,"Annual Money-Weight Rate of Return, Net of Investment Expense %"
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2021,26.4,,,26.49,11.66,11.32,26.4
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2021,2.16,2.16,2.16,2.16,2.16,2.16,2.16
City of Manhattan Beach Supplemental Retirement Plan,7241,2021,2.16,2.16,2.16,2.16,2.16,2.16,2.16
City of Oakland Fire and Police Retirement System,7222,2021,,,,24.2,10.5,11.5,24.43
City of Pasadena Fire and Police Retirement System,7239,2021,19,8.9,8.6,,,,19
City of Piedmont Police and Fire Pension Plan,7224,2021,27.24,12.47,9.21,,,,27.24
City of Richmond Garfield Pension Plan,7229,2021,0.72,,,,,,0.72
City of Richmond General Pension Plan,7227,2021,0.44,,,,,,0.44
City of Richmond Police and Firemen's Pension Plan,7228,2021,22.61,,,,,,22.61
City of Sacramento City Employees' Retirement System,7245,2021,,,,29.5,12.8,11.2,29.13
City of San Clemente Restated Employees' Retirement Plan,7244,2021,43,18,17,,,,24.21
City of San Jose Federated City Employees' Retirement System,7249,2021,,,,29.2,11.8,9.7,29.43
City of San Jose Police and Fire Retirement Plan,7250,2021,,,,26.3,10.7,9.7,26.43
City of Santa Barbara Police and Fire Pension Fund,7248,2021,0.01,0.01,0.01,,,,0.01
Contra Costa County Employees' Retirement Association,7259,2021,,,,9.2,6.8,8.2,9.5
Contra Costa Water District Retirement Plan,7172,2021,27.66,,,,,,27.66
Desert Hospital Retirement Protection Plan,7398,2021,25.13,,,0.33,1.63,1.31,25.13
East Bay Municipal Utility District Employees' Retirement System,7168,2021,26.7,11.1,11.4,,,,26.85
Fresno County Employees' Retirement Association,7260,2021,,,,25.6,10.2,9.6,26.24
Golden Gate Transit District Amalgamated Retirement Plan,7144,2021,7,5,7.3,,,,7
Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan,13131,2021,17.65,9.92,9.03,,,,16.69
Imperial County Employees' Retirement System,7261,2021,,,,26.7,11.4,10.9,24.2
Judges' Retirement System I,7205,2021,,,,0.01,0.01,0.01,0.3
Judges' Retirement System II,7206,2021,,,,24.4,11.6,10.3,24.3
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2021,29.6,,,,,,29.6
Kern County Employees' Retirement Association,7262,2021,,,,23.9,10.3,9.8,24.3
Legislators' Retirement System,7207,2021,13.4,,,13.6,9,7.2,13.4
Long Beach Public Transportation Company Retirement Plan - Contract Employees,7198,2021,,,,24.7,8.6,8.2,26.5
Long Beach Public Transportation Company Retirement Plan -  Salaried Employees,7199,2021,,,,23.8,8.3,8,24.2
Los Angeles City Employees' Retirement System,7237,2021,,,,29.29,11.58,11.45,27.47
Los Angeles County Employees' Retirement Association,7263,2021,25.2,,,25.2,10.7,10.8,25.2
Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan,9235,2021,,,,27,12.2,11.6,27
Los Angeles County Transportation Authority Maintenance Employees' Retirement System,7161,2021,,,,27,12.2,11.6,27
Los Angeles County Transportation Authority Non-Contract Employees' Retirement System,7162,2021,,,,27,12.2,11.6,27
Los Angeles County Transportation Authority SMART - TD Retirement,7163,2021,,,,27,12.2,11.6,27
Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System,7160,2021,,,,27,12.2,11.5,27
Marin County Employees' Retirement Association,7264,2021,32.75,9.53,2.15,8.06,5.05,5.82,32.75
Mendocino County Employees' Retirement Association,7265,2021,,,,31.83,12.15,12.34,31.4
Merced County Employees' Retirement Association,7266,2021,,,,26.6,12.3,11.7,26.9
Modesto Irrigation District Basic Retirement Plan,7186,2021,13.15,8.53,9.93,,,,14.42
Orange County Employees' Retirement System,7267,2021,,,,11.38,7.81,9.26,11.22
Public Agency Retirement System Defined Benefit Plans,7215,2021,4.65,,,,,,4.65
Public Employees' Retirement Fund (PERF) A,12892,2021,,,,21.3,10.7,10.3,22.4
Public Employees' Retirement Fund (PERF) B,12893,2021,,,,21.3,10.7,10.3,22.4
Public Employees' Retirement Fund (PERF) C,12894,2021,,,,21.3,10.7,10.3,22.4
Sacramento County Employees' Retirement System,7268,2021,,,,27.9,12.2,12.1,27.4
Sacramento Regional Transit District ATU Employees' Retirement Plan,12847,2021,28.1,11.78,11.03,,,,27.6
Sacramento Regional Transit District IBEW Employees' Retirement Plan,12848,2021,28.1,11.78,11.03,,,,27.6
Sacramento Regional Transit District Salaried Employees' Retirement Plan,7165,2021,28.1,11.78,11.03,,,,27.6
San Bernardino County Employees' Retirement Association,7269,2021,,,,33.3,10.6,10.7,33.2
San Diego City Employees' Retirement System,7246,2021,,,,24.9,10.3,10.7,25.64
San Diego County Employees' Retirement Association,7270,2021,25.07,10.01,9.98,25,10.1,10,25
San Diego Transit Corporation Employees' Retirement Plan,7200,2021,17.96,6.41,6.22,,,,17.96
San Francisco City and County Employees' Retirement System,7247,2021,35.45,,,,,,35.45
San Joaquin County Employees' Retirement Association,7271,2021,2.23,4.42,6.22,8.8,6.9,8.1,2.23
San Joaquin Regional Transit District Contract Employees' Retirement Plan,7166,2021,27.52,,,,,,27.52
San Luis Obispo County Pension Trust,7272,2021,10.57,7.35,8.61,8.9,7.1,8.6,10.57
San Mateo County Employees' Retirement Association,7273,2021,,,,24.3,9.4,9.5,24.29
Santa Barbara County Employees' Retirement System,7274,2021,25.2,10.45,9.93,,,,25.2
Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan,7167,2021,29,9.5,9.7,,,,26.5
Self-Insured Schools of California Defined Benefit Plan,7183,2021,17.61,11.3,12.04,17.56,11.37,12.15,17.61
Sonoma County Employees' Retirement Association,7275,2021,,,,8.6,7.19,9.4,9.05
Stanislaus County Employees' Retirement Association,7276,2021,,,,25.2,10.1,10.5,25.2
Sunline Transit Retirement Income Plan - Bargaining Unit Personnel,7182,2021,16.59,9.75,8.52,,,,16.59
Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel,7400,2021,16.57,9.89,8.61,,,,16.57
Tulare County Employees' Retirement Association,7277,2021,,,,24,9.9,9.9,23.85
Turlock Irrigation District Pension Plan,7187,2021,,,,31.55,11.07,12.05,32.33
University of California Retirement Plan,7211,2021,30.24,11.98,11.61,30.5,12.05,11.65,30.24
Ventura County Employees' Retirement Association,7278,2021,,,,30.3,12.7,11.9,30.3
West Contra Costa Healthcare District Successor Retirement Plan,8275,2021,0.4,1.4,4.7,,,,0.4
AC Transit Employees' Retirement Plan,7159,2020,17.2,8.98,6.97,,,,17.2
Alameda County Employees' Retirement Association,7258,2020,,,,18.7,10.8,8,18.1
Antelope Valley Hospital Medical Center Retirement Plan,7148,2020,4.14,6.19,5.43,,,,4.14
California State Teachers' Retirement System,7209,2020,4.2,8.9,1.2,3.9,6.5,6.8,4.2
City of Alameda Police and Fire Pension 1079 and 1082,7218,2020,-0.3,-0.3,,,,,-0.3
City of Albany Police and Fire Relief Pension Fund,7219,2020,-2.36,,,,,,-2.36
City of Berkeley Safety Members' Pension Fund,7220,2020,0,,,0,,,
City of Concord Retirement System,7230,2020,4.25,,,,,,4.25
City of Delano Employee Pension Plan,7235,2020,,,,1.51,5,4.49,1.51
City of El Cerrito Employees' Pension Trust Fund,7225,2020,1,,,,,,1
City of Emeryville Pension Plan,7221,2020,1.94,1.85,1.35,,,,1.94
City of Eureka Fire and Police Retirement System,7233,2020,1.94,1.87,1.36,,,,1.94
City of Fresno Employees' Retirement System,7232,2020,,,,1.6,5.31,6.21,1.26
City of Fresno Fire and Police Retirement System,7231,2020,,,,1.6,5.31,6.21,1.26
City of Irvine Safety Defined Benefit Pension Plan,7243,2020,13.06,6.65,5.21,,,,14.12
City of Los Angeles Fire and Police Pension System,7236,2020,3.04,6.35,6.63,,,,3.04
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2020,3.56,,,3.49,6.25,6.43,3.56
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2020,2.2,2.2,2.2,2.2,2.2,2.2,2.2
City of Manhattan Beach Supplemental Retirement Plan,7241,2020,2.2,2.2,2.2,2.2,2.2,2.2,2.2
City of Oakland Fire and Police Retirement System,7222,2020,,,,2.3,6.3,6.7,2.04
City of Pasadena Fire and Police Retirement System,7239,2020,2.8,4.7,5,,,,2.8
City of Piedmont Police and Fire Pension Plan,7224,2020,5.33,4.56,3.37,,,,5.33
City of Richmond Garfield Pension Plan,7229,2020,2.52,,,,,,2.18
City of Richmond General Pension Plan,7227,2020,2.52,,,,,,1.54
City of Richmond Police and Firemen's Pension Plan,7228,2020,5.09,,,,,,5.11
City of Sacramento City Employees' Retirement System,7245,2020,,,,3.25,6.1,6.31,3.21
City of San Clemente Restated Employees' Retirement Plan,7244,2020,6,9,8,,,,3.13
City of San Jose Federated City Employees' Retirement System,7249,2020,,,,3.6,4.6,4.1,3.79
City of San Jose Police and Fire Retirement Plan,7250,2020,,,,3.1,4.7,4.6,2.98
City of Santa Barbara Police and Fire Pension Fund,7248,2020,0.01,0.01,0.01,,,,0.01
Contra Costa County Employees' Retirement Association,7259,2020,,,,14.6,8.3,6.8,14.26
Contra Costa Water District Retirement Plan,7172,2020,3.67,,,,,,3.67
Desert Hospital Retirement Protection Plan,7398,2020,,,,2.49,1.85,1.29,1.62
East Bay Municipal Utility District Employees' Retirement System,7168,2020,2.6,5.7,6.4,,,,2.27
Fresno County Employees' Retirement Association,7260,2020,,,,1,4.6,4.7,0.68
Golden Gate Transit District Amalgamated Retirement Plan,7144,2020,14.6,6.7,5.4,,,,14.6
Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan,13131,2020,6.35,6.4,5.73,,,,5.43
Imperial County Employees' Retirement System,7261,2020,,,,3.1,5.8,6.1,0.5
Judges' Retirement System I,7205,2020,,,,0.01,0.01,0.01,2.3
Judges' Retirement System II,7206,2020,,,,4.5,6.2,6,4.1
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2020,2.57,,,,,,2.57
Kern County Employees' Retirement Association,7262,2020,,,,3,4.9,5.1,3.2
Legislators' Retirement System,7207,2020,,,,6.4,6.2,5.4,6.2
Long Beach Public Transportation Company Retirement Plan - Contract Employees,7198,2020,,,,0.12,2.6,3.15,0.3
Long Beach Public Transportation Company Retirement Plan -  Salaried Employees,7199,2020,,,,-0.96,2.35,3.1,0.3
Los Angeles City Employees' Retirement System,7237,2020,,,,1.24,5.49,5.98,2
Los Angeles County Employees' Retirement Association,7263,2020,1.4,,,1.8,5.7,6.1,1.4
Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan,9235,2020,,,,3.9,6.7,6.4,3.9
Los Angeles County Transportation Authority Maintenance Employees' Retirement System,7161,2020,,,,3.9,6.7,6.4,3.9
Los Angeles County Transportation Authority Non-Contract Employees' Retirement System,7162,2020,,,,3.9,6.7,6.4,3.9
Los Angeles County Transportation Authority SMART - TD Retirement,7163,2020,,,,3.9,6.7,6.4,3.9
Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System,7160,2020,,,,3.9,6.7,6.4,3.9
Marin County Employees' Retirement Association,7264,2020,3.25,12.21,5.04,2.28,6.27,6.82,3.25
Mendocino County Employees' Retirement Association,7265,2020,,,,2.92,5.42,5.82,2.97
Merced County Employees' Retirement Association,7266,2020,,,,6.7,7.16,6.87,6.6
Modesto Irrigation District Basic Retirement Plan,7186,2020,20.1,9.62,7.92,,,,16.94
Orange County Employees' Retirement System,7267,2020,,,,14.41,8.81,6.91,14.81
Public Agency Retirement System Defined Benefit Plans,7215,2020,4.65,,,,,,4.65
Public Employees' Retirement Fund (PERF) A,12892,2020,,,,4.7,6.6,6.3,5
Public Employees' Retirement Fund (PERF) B,12893,2020,,,,4.7,6.6,6.3,5
Public Employees' Retirement Fund (PERF) C,12894,2020,,,,4.7,6.6,6.3,5
Sacramento County Employees' Retirement System,7268,2020,,,,2.9,6.9,6.6,3.1
Sacramento Regional Transit District ATU Employees' Retirement Plan,12847,2020,2.3,5.4,5.64,,,,1.98
Sacramento Regional Transit District IBEW Employees' Retirement Plan,12848,2020,2.3,5.4,5.64,,,,1.98
Sacramento Regional Transit District Salaried Employees' Retirement Plan,7165,2020,2.3,5.4,5.64,,,,1.98
San Bernardino County Employees' Retirement Association,7269,2020,,,,-3.1,3.37,4.41,-2.87
San Diego City Employees' Retirement System,7246,2020,,,,0.5,5.4,6.1,0.24
San Diego County Employees' Retirement Association,7270,2020,1.08,4.78,5.47,1.1,4.8,5.3,1.08
San Diego Transit Corporation Employees' Retirement Plan,7200,2020,-1.86,1.49,1.9,,,,-1.86
San Francisco City and County Employees' Retirement System,7247,2020,3.86,7.85,7.55,,,,3.86
San Joaquin County Employees' Retirement Association,7271,2020,13.77,8.12,6.04,13.93,8.23,6.12,13.25
San Joaquin Regional Transit District Contract Employees' Retirement Plan,7166,2020,1.2,,,,,,1.2
San Luis Obispo County Pension Trust,7272,2020,15.21,8.81,6.21,,,,15.21
San Mateo County Employees' Retirement Association,7273,2020,,,,-0.2,3.9,4.9,-0.26
Santa Barbara County Employees' Retirement System,7274,2020,-0.1,5.08,5.38,,,,-0.1
Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan,7167,2020,0.88,3.82,5.07,,,,2.53
Self-Insured Schools of California Defined Benefit Plan,7183,2020,24.96,11.46,15.28,25.08,11.52,8.52,24.96
Sonoma County Employees' Retirement Association,7275,2020,,,,16.96,9.76,8.06,16.35
Stanislaus County Employees' Retirement Association,7276,2020,,,,1.3,4.8,,1.3
Sunline Transit Retirement Income Plan - Bargaining Unit Personnel,7182,2020,20.06,9.69,7.19,,,,20.06
Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel,7400,2020,20.08,9.15,6.93,,,,20.08
Tulare County Employees' Retirement Association,7277,2020,,,,0.9,4.9,5.1,0.74
Turlock Irrigation District Pension Plan,7187,2020,0.97,6.78,5.92,,,,0.97
University of California Retirement Plan,7211,2020,1.7,5.11,5.44,1.7,5.14,5.43,1.7
Ventura County Employees' Retirement Association,7278,2020,,,,2.5,6.1,6.3,2.4
West Contra Costa Healthcare District Successor Retirement Plan,8275,2020,1.5,4.5,3.6,,,,1.5
AC Transit Employees' Retirement Plan,7159,2019,-5.07,4.56,5.49,,,,-5.07
Alameda County Employees' Retirement Association,7258,2019,,,,-4.1,7.2,5.3,-4.44
Antelope Valley Hospital Medical Center Retirement Plan,7148,2019,6.57,8.17,5.39,,,,6.57
California State Teachers' Retirement System,7209,2019,6.6,13.4,4.1,6.8,9.7,6.9,6.6
City of Alameda Police and Fire Pension 1079 and 1082,7218,2019,0.4,0.4,,,,,0.4
City of Albany Police and Fire Relief Pension Fund,7219,2019,5.15,,,,,,5.15
City of Berkeley Safety Members' Pension Fund,7220,2019,9.68,9.68,9.68,,,,9.68
City of Concord Retirement System,7230,2019,7.13,,,,,,7.13
City of Delano Employee Pension Plan,7235,2019,,,,3.85,7.86,4.88,3.85
City of El Cerrito Employees' Pension Trust Fund,7225,2019,1,,,,,,1
City of Emeryville Pension Plan,7221,2019,2.26,1.46,1.02,,,,2.26
City of Eureka Fire and Police Retirement System,7233,2019,2.3,1.47,1.02,,,,2.3
City of Fresno Employees' Retirement System,7232,2019,,,,5.59,9.66,6.57,5.2
City of Fresno Fire and Police Retirement System,7231,2019,,,,5.59,9.66,6.57,5.2
City of Irvine Safety Defined Benefit Pension Plan,7243,2019,-2.34,4.22,3.97,,,,-2.62
City of Los Angeles Fire and Police Pension System,7236,2019,6.21,9.76,6.86,,,,6.21
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2019,6.5,,,6.36,9.31,6.59,6.5
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2019,3.5,3.5,3.5,3.5,3.5,3.5,3.5
City of Manhattan Beach Supplemental Retirement Plan,7241,2019,3.5,3.5,3.5,3.5,3.5,3.5,3.5
City of Oakland Fire and Police Retirement System,7222,2019,,,,6.2,10.7,7,6.1
City of Pasadena Fire and Police Retirement System,7239,2019,5.5,7.3,5.1,,,,5.5
City of Piedmont Police and Fire Pension Plan,7224,2019,4.84,6.1,2.17,,,,4.84
City of Richmond Garfield Pension Plan,7229,2019,0.4,0.4,1,,,,1.93
City of Richmond General Pension Plan,7227,2019,0.1,0.3,1,,,,0.64
City of Richmond Police and Firemen's Pension Plan,7228,2019,3.9,-0.12,4.9,,,,5.51
City of Sacramento City Employees' Retirement System,7245,2019,,,,7.37,8.4,6.6,7.08
City of San Clemente Restated Employees' Retirement Plan,7244,2019,8,13,9,,,,5.3
City of San Jose Federated City Employees' Retirement System,7249,2019,,,,4.3,5.9,3.2,4.17
City of San Jose Police and Fire Retirement Plan,7250,2019,,,,4.3,6.9,3.8,4
City of Santa Barbara Police and Fire Pension Fund,7248,2019,0.01,0.01,0.01,,,,0.01
Contra Costa County Employees' Retirement Association,7259,2019,,,,-2.7,5.8,5.4,-2.18
Contra Costa Water District Retirement Plan,7172,2019,7.14,9.16,6.39,,,,7.14
Desert Hospital Retirement Protection Plan,7398,2019,,,,2.06,1.24,0.82,5.46
East Bay Municipal Utility District Employees' Retirement System,7168,2019,5.5,9.6,6.8,,,,12.24
Fresno County Employees' Retirement Association,7260,2019,,,,5.6,7.7,4.5,5.49
Golden Gate Transit District Amalgamated Retirement Plan,7144,2019,-6.3,4.5,4,,,,-6.3
Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan,13131,2019,6.21,7.2,5.16,,,,5.47
Imperial County Employees' Retirement System,7261,2019,,,,6.4,9,5.9,6.3
Judges' Retirement System I,7205,2019,,,,0.01,0.01,0.01,3.2
Judges' Retirement System II,7206,2019,,,,6.7,8,5,6.9
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2019,8.74,,,,,,8.74
Kern County Employees' Retirement Association,7262,2019,,,,5.3,7.8,5,5.6
Legislators' Retirement System,7207,2019,,,,7.3,5.5,4.1,7
Long Beach Public Transportation Company Retirement Plan - Contract Employees,7198,2019,,,,2.65,5.87,3.05,3.1
Long Beach Public Transportation Company Retirement Plan -  Salaried Employees,7199,2019,,,,2.46,5.79,3.01,2.8
Los Angeles City Employees' Retirement System,7237,2019,5.5,,,6.15,9.52,6.3,5.5
Los Angeles County Employees' Retirement Association,7263,2019,5.5,,,6.4,9.4,6.5,5.5
Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan,9235,2019,,,,6.9,9.5,5.8,6.9
Los Angeles County Transportation Authority Maintenance Employees' Retirement System,7161,2019,,,,6.9,9.5,5.8,6.9
Los Angeles County Transportation Authority Non-Contract Employees' Retirement System,7162,2019,,,,6.9,9.5,5.8,6.9
Los Angeles County Transportation Authority SMART - TD Retirement,7163,2019,,,,6.9,9.5,5.8,6.9
Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System,7160,2019,,,,6.9,9.5,5.8,6.9
Marin County Employees' Retirement Association,7264,2019,5.41,2.15,18.16,3.33,8.31,7.31,5.41
Mendocino County Employees' Retirement Association,7265,2019,,,,3.94,9.65,5.85,4
Merced County Employees' Retirement Association,7266,2019,,,,5.4,9.2,6.2,5.5
Modesto Irrigation District Basic Retirement Plan,7186,2019,-5.87,5.76,5.54,,,,-5.33
Orange County Employees' Retirement System,7267,2019,,,,-1.67,6.91,5.03,-1.31
Public Agency Retirement System Defined Benefit Plans,7215,2019,4.93,4.82,3.24,,,,4.93
Public Employees' Retirement Fund (PERF) A,12892,2019,,,,6.7,8.8,5.8,6.5
Public Employees' Retirement Fund (PERF) B,12893,2019,,,,6.7,8.8,5.8,6.5
Public Employees' Retirement Fund (PERF) C,12894,2019,,,,6.7,8.8,5.8,6.5
Sacramento County Employees' Retirement System,7268,2019,,,,7.2,10.4,6.5,7.2
Sacramento Regional Transit District ATU Employees' Retirement Plan,12847,2019,,,,6.61,8.8,5.83,6.23
Sacramento Regional Transit District IBEW Employees' Retirement Plan,12848,2019,,,,6.61,8.8,5.83,6.23
Sacramento Regional Transit District Salaried Employees' Retirement Plan,7165,2019,,,,6.61,8.8,5.83,6.23
San Bernardino County Employees' Retirement Association,7269,2019,5.01,,,4.81,8.89,5.98,5.01
San Diego City Employees' Retirement System,7246,2019,,,,7,9.7,6.6,6.36
San Diego County Employees' Retirement Association,7270,2019,5.4,8.41,5.66,5.5,8.4,5.6,5.4
San Diego Transit Corporation Employees' Retirement Plan,7200,2019,2.93,4.41,4.32,,,,2.93
San Francisco Bay Area Rapid Transit District Money Purchase Pension Plan,13130,2019,,,,,,,
San Francisco City and County Employees' Retirement System,7247,2019,8.19,11.06,7.55,,,,8.19
San Joaquin County Employees' Retirement Association,7271,2019,-1.4,5.94,4.43,-1.35,6.05,4.48,-2.11
San Joaquin Regional Transit District Contract Employees' Retirement Plan,7166,2019,1,,,,,,4.76
San Luis Obispo County Pension Trust,7272,2019,-3.72,5.76,4.08,,,,-3.72
San Mateo County Employees' Retirement Association,7273,2019,,,,5.4,8.2,5.7,5.26
Santa Barbara County Employees' Retirement System,7274,2019,7.74,8.67,5.49,,,,7.74
Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan,7167,2019,4.67,8.46,6.15,,,,4.75
Self-Insured Schools of California Defined Benefit Plan,7183,2019,-8.66,5.87,4.36,-8.53,6.04,4.54,-8.66
Sonoma County Employees' Retirement Association,7275,2019,,,,-3.04,7.26,6,-3.39
Stanislaus County Employees' Retirement Association,7276,2019,,,,5.1,9.1,5.8,5.1
Sunline Transit Retirement Income Plan - Bargaining Unit Personnel,7182,2019,-5.56,4.16,3.35,,,,-5.56
Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel,7400,2019,-5.21,4.28,3.42,,,,-5.21
Tulare County Employees' Retirement Association,7277,2019,,,,6.3,8.7,5.2,6.1
Turlock Irrigation District Pension Plan,7187,2019,3.17,9.97,6.69,,,,8.7
University of California Retirement Plan,7211,2019,6.03,9.38,5.88,6,9.4,6.03,6.03
Ventura County Employees' Retirement Association,7278,2019,,,,7,9.5,6.1,6.74
West Contra Costa Healthcare District Successor Retirement Plan,8275,2019,2.3,7.3,3.7,,,,2.3
AC Transit Employees' Retirement Plan,7159,2018,14.8,7.57,8.46,,,,14.8
Alameda County Employees' Retirement Association,7258,2018,19.02,-0.1,19.87,,,,19.02
Antelope Valley Hospital Medical Center Retirement Plan,7148,2018,7.89,5.49,6.61,,,,7.89
California State Teachers' Retirement System,7209,2018,,,,9,7.8,9.2,9
City of Alameda Police and Fire Pension 1079 and 1082,7218,2018,0,,,,,,
City of Albany Police and Fire Relief Pension Fund,7219,2018,14.32,,,,,,14.32
City of Berkeley Safety Members' Pension Fund,7220,2018,9.68,9.68,9.68,,,,9.68
City of Concord Retirement System,7230,2018,5.52,,,,,,5.52
City of Delano Employee Pension Plan,7235,2018,,,,9.8,5.71,7.12,9.8
City of El Cerrito Employees' Pension Trust Fund,7225,2018,1,,,,,,
City of Emeryville Pension Plan,7221,2018,1.36,0.84,0.61,,,,
City of Eureka Fire and Police Retirement System,7233,2018,1.36,0.85,0.69,,,,1.36
City of Fresno Employees' Retirement System,7232,2018,,,,8.86,8.01,8.89,8.57
City of Fresno Fire and Police Retirement System,7231,2018,,,,8.86,8.01,8.89,8.57
City of Irvine Safety Defined Benefit Pension Plan,7243,2018,9.23,5.12,6.02,,,,9.42
City of Los Angeles Fire and Police Pension System,7236,2018,9.21,7.77,8.97,,,,9.21
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2018,9.2,7.66,8.87,,,,8.89
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2018,4.12,4.12,4.12,,,,4.12
City of Manhattan Beach Supplemental Retirement Plan,7241,2018,4.12,4.12,4.12,,,,4.12
City of Oakland Fire and Police Retirement System,7222,2018,,,,10.5,8.4,9,10.2
City of Pasadena Fire and Police Retirement System,7239,2018,5.6,5.5,7,,,,5.6
City of Piedmont Police and Fire Pension Plan,7224,2018,3.5,2.22,4.26,,,,3.5
City of Richmond Garfield Pension Plan,7229,2018,0.4,0.4,1,,,,1
City of Richmond General Pension Plan,7227,2018,0.1,0.3,1,,,,1
City of Richmond Police and Firemen's Pension Plan,7228,2018,3.9,-1.2,4.9,,,,4.9
City of Sacramento City Employees' Retirement System,7245,2018,,,,7.68,6.96,8,7.96
City of San Clemente Restated Employees' Retirement Plan,7244,2018,14,10,13,,,,5.94
City of San Jose Federated City Employees' Retirement System,7249,2018,,,,5.9,4.2,5,6.03
City of San Jose Police and Fire Retirement Plan,7250,2018,,,,6.9,5.2,5.6,6.89
City of Santa Barbara Police and Fire Pension Fund,7248,2018,0.01,0.01,0.01,,,,0.01
Contra Costa County Employees' Retirement Association,7259,2018,,,,14.2,8,9.7,13.23
Contra Costa Water District Retirement Plan,7172,2018,8.17,7.43,8.85,,,,8.17
Desert Hospital Retirement Protection Plan,7398,2018,,,,1,0.64,0.44,6.83
East Bay Municipal Utility District Employees' Retirement System,7168,2018,9.2,8.1,9.5,,,,16.46
Fresno County Employees' Retirement Association,7260,2018,,,,7.2,5.7,6.7,7.62
Golden Gate Transit District Amalgamated Retirement Plan,7144,2018,,,,13.5,6.9,9.2,5.4
Imperial County Employees' Retirement System,7261,2018,,,,8,7,7.8,8
Judges' Retirement System I,7205,2018,,,,0.01,0.01,0.01,1.9
Judges' Retirement System II,7206,2018,,,,7.5,6.2,7.2,7.4
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2018,12.7,,,,,,12.7
Kern County Employees' Retirement Association,7262,2018,,,,6.5,5.8,6.9,6.8
Legislators' Retirement System,7207,2018,,,,4.8,4.4,5.2,4.8
Long Beach Public Transportation Company Retirement Plan - Contract Employees,7198,2018,,,,5.1,4.4,4.9,5.4
Long Beach Public Transportation Company Retirement Plan -  Salaried Employees,7199,2018,,,,5.2,4.3,4.9,5.5
Los Angeles City Employees' Retirement System,7237,2018,,,,9.2,7.6,8.7,9.3
Los Angeles County Employees' Retirement Association,7263,2018,,,,9,7.4,8.5,9
Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan,9235,2018,,,,9.2,7,7.8,9.2
Los Angeles County Transportation Authority Maintenance Employees' Retirement System,7161,2018,,,,9.2,7,7.8,9.2
Los Angeles County Transportation Authority Non-Contract Employees' Retirement System,7162,2018,,,,9.2,7,7.8,9.2
Los Angeles County Transportation Authority SMART - TD Retirement,7163,2018,,,,9.2,7,7.8,9.2
Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System,7160,2018,,,,9.2,7,7.8,9.2
Marin County Employees' Retirement Association,7264,2018,9.53,5.04,,,,,9.53
Mendocino County Employees' Retirement Association,7265,2018,,,,9.48,7.43,8.58,9.63
Merced County Employees' Retirement Association,7266,2018,,,,9.4,7.4,8.6,10.1
Modesto Irrigation District Basic Retirement Plan,7186,2018,16.36,8.98,10.73,,,,
Orange County Employees' Retirement System,7267,2018,,,,14.51,7.47,7.58,14.74
Public Agency Retirement System Defined Benefit Plans,7215,2018,4.07,3.4,,,,,4.07
Public Employees' Retirement Fund (PERF) A,12892,2018,,,,8.6,6.7,8.1,8.4
Public Employees' Retirement Fund (PERF) B,12893,2018,,,,8.6,6.7,8.1,8.4
Public Employees' Retirement Fund (PERF) C,12894,2018,,,,8.6,6.7,8.1,8.4
Sacramento County Employees' Retirement System,7268,2018,,,,10.1,7.6,8.3,9.81
Sacramento Regional Transit District ATU Employees' Retirement Plan,12847,2018,,,,7.37,6.45,7.56,6.93
Sacramento Regional Transit District IBEW Employees' Retirement Plan,12848,2018,,,,7.37,6.45,7.56,6.93
Sacramento Regional Transit District Salaried Employees' Retirement Plan,7165,2018,,,,7.37,6.45,7.56,6.93
