Entity Name,Entity ID,Fiscal Year,1 year_Dollar-Weighted Rate of Return,3 year_Dollar-Weighted Rate of Return,5 year_Dollar-Weighted Rate of Return,1 year_Time-Weighted Rate of Return,3 year_Time-Weighted Rate of Return,5 year_Time-Weighted Rate of Return,"Annual Money-Weight Rate of Return, Net of Investment Expense %"
San Diego County Employees' Retirement Association,7270,2024,11.21,3.37,6.2,11.3,3.38,6.9,11.21
San Diego Transit Corporation Employees' Retirement Plan,7200,2024,4.98,-6.36,7.98,,,,4.98
San Francisco City and County Employees' Retirement System,7247,2024,7.87,,,,,,7.87
San Joaquin County Employees' Retirement Association,7271,2024,9.12,4.78,7.16,8.91,3.68,5.97,9.12
San Joaquin Regional Transit District Contract Employees' Retirement Plan,7166,2024,12.44,,,,,,12.44
San Luis Obispo County Pension Trust,7272,2024,8.11,4.66,7.95,8.7,4.9,8.1,8.11
San Mateo County Employees' Retirement Association,7273,2024,,,,9.2,3.2,6.4,9.12
Santa Barbara County Employees' Retirement System,7274,2024,,,,8.73,5.3,7.87,8.33
Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan,7167,2024,,,,11.8,3.3,6.7,9.31
Self-Insured Schools of California Defined Benefit Plan,7183,2024,19.11,5.53,11.92,19.05,5.15,11.62,19.11
Sonoma County Employees' Retirement Association,7275,2024,,,,13.63,7.38,9.48,16.26
Stanislaus County Employees' Retirement Association,7276,2024,,,,9.6,3.1,6.8,9.6
Sunline Transit Retirement Income Plan - Bargaining Unit Personnel,7182,2024,14.19,2.22,8.38,,,,14.19
Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel,7400,2024,14.37,2.29,8.42,,,,14.37
Tulare County Employees' Retirement Association,7277,2024,,,,9,3.3,6.5,9.03
Turlock Irrigation District Pension Plan,7187,2024,,,,15.67,4.72,8.81,15.67
University of California Retirement Plan,7211,2024,12.9,3.4,7.9,12.2,3.3,7.9,12.93
Ventura County Employees' Retirement Association,7278,2024,,,,11.8,4.6,8.9,11.8
West Contra Costa Healthcare District Successor Retirement Plan,8275,2024,5.5,3.2,2.3,,,,5.5
AC Transit Employees' Retirement Plan,7159,2023,9.54,17.2,14.8,,,,-13.77
Alameda County Employees' Retirement Association,7258,2023,,,,-11.5,5.1,5.7,-11.01
Antelope Valley Hospital Medical Center Retirement Plan,7148,2023,11.14,7.36,6.55,,,,11.14
California State Teachers' Retirement System,7209,2023,6.6,10.2,8.2,6.3,10.1,8.2,6.6
City of Alameda Police and Fire Pension 1079 and 1082,7218,2023,1,1,,,,,1
City of Albany Police and Fire Relief Pension Fund,7219,2023,-8.08,,,,,,-8.08
City of Berkeley Safety Members' Pension Fund,7220,2023,0,0,0,0,0,0,
City of Concord Retirement System,7230,2023,6.01,,,,,,6.01
City of Delano Employee Pension Plan,7235,2023,,,,9.85,6.97,5.23,9.85
City of El Cerrito Employees' Pension Trust Fund,7225,2023,1,,,,,,1
City of Emeryville Pension Plan,7221,2023,2.23,1.03,1.46,,,,2.23
City of Eureka Fire and Police Retirement System,7233,2023,2.23,1.03,1.47,,,,2.23
City of Fresno Employees' Retirement System,7232,2023,,,,9.72,10.06,7.42,9.52
City of Fresno Fire and Police Retirement System,7231,2023,,,,9.72,10.06,7.42,9.52
City of Irvine Safety Defined Benefit Pension Plan,7243,2023,4.7,9.61,7.15,,,,-14.4
City of Los Angeles Fire and Police Pension System,7236,2023,7.78,9.85,7.72,,,,7.78
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2023,7.52,,,7.45,8.72,7.18,7.52
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2023,3.65,3.65,3.65,3.65,3.65,3.65,3.65
City of Manhattan Beach Supplemental Retirement Plan,7241,2023,3.65,3.65,3.65,3.65,3.65,3.65,3.65
City of Oakland Fire and Police Retirement System,7222,2023,,,,8.8,6.6,5.6,8.84
City of Pasadena Fire and Police Retirement System,7239,2023,5,4.5,4.4,,,,5
City of Piedmont Police and Fire Pension Plan,7224,2023,9.26,7.19,5.38,,,,9.26
City of Richmond Garfield Pension Plan,7229,2023,2.76,,,,,,2.76
City of Richmond General Pension Plan,7227,2023,2.38,,,,,,2.38
City of Richmond Police and Firemen's Pension Plan,7228,2023,9.93,,,,,,9.93
City of Sacramento City Employees' Retirement System,7245,2023,,,,10.1,8.4,7.1,9.64
City of San Clemente Restated Employees' Retirement Plan,7244,2023,17.1,12.7,10.2,,,,8.88
City of San Jose Federated City Employees' Retirement System,7249,2023,,,,7.4,9.8,7.4,7.31
City of San Jose Police and Fire Retirement Plan,7250,2023,,,,7.7,8.8,6.7,7.94
City of Santa Barbara Police and Fire Pension Fund,7248,2023,0.01,0.01,0.01,,,,0.01
