,MAE,R2
Naive,2.8728220858895703,
Linear,3.2416956488424784,0.9104840872124152
Ridge,3.24172954982914,0.9104836420595369
LASSO,3.3912950968562625,0.9065550992948617
Random Forest,3.866950852327541,0.8864538776916489
AdaBoost,5.225331391047337,0.8301820151397159
Gradient Boosting,4.025064353034602,0.8526931649910438
Neural Network,6.622308806436925,0.36899896091155937
