"Entity Name","Entity ID","Fiscal Year","Valuation Date","Name of Actuary","Actuarial Accrued Liability_Funding Position","Actuarial Value of Assets","Unfunded Actuarial Accrued Liability (UAAL)","Funded Ratio (Rounded to Nearest Tenth, Example: 99.9) (%)","Annual Covered Payroll_Funding Position","UAAL as a Percenrate of ACP (%)","Select Method Used to Determine Actuarial Accrued Liability","Please Specifiy Other Method"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20132014","NULL","dcp",,,"0","NULL","3,015,414","NULL","NULL","NULL"
"Semitropic Water Storage District 401(K) Plan","10763","20142015","NULL","NULL",,,"0","NULL","3,276,701","0","NULL","NULL"
"AC Transit Employees' Retirement Plan","7159","20152016","2015-01-01T00:00:00","Cheiron","856,235,546","570,994,244","285,241,302","66.7","137,011,984","NULL","1","NULL"
"AC Transit Employees' Retirement Plan","7159","20142015","2014-01-01T00:00:00","Cheiron","785,288,682","533,397,205","251,891,477","67.9","128,635,888","195.8","1","NULL"
"AC Transit Employees' Retirement Plan","7159","20132014","2013-01-01T00:00:00","Cheiron","753,239,390","480,241,963","272,997,427","63.8","130,592,121","209","1","NULL"
"AC Transit Employees' Retirement Plan","7159","20122013","2012-01-01T00:00:00","EFI Actuaries","721,194,818","453,421,574","267,773,244","62.9","126,239,193","211.6","1","NULL"
"AC Transit Employees' Retirement Plan","7159","20112012","2011-01-01T00:00:00","EFI Actuaries","692,486,995","428,644,017","263,842,978","61.9","126,536,498","208.5","1","NULL"
"AC Transit Employees' Retirement Plan","7159","20102011","2010-01-01T00:00:00","EFI Actuaries","625,116,235","391,062,294","234,053,941","62.6","136,127,357","171.9","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20092010","2009-01-01T00:00:00","EFI Actuaries","586,781,594","358,600,888","228,180,706","61.1","135,196,012","168.8","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20082009","2008-01-01T00:00:00","EFI Actuaries","531,756,991","420,843,790","110,913,201","79.1","129,935,113","85.4","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20072008","2007-01-01T00:00:00","EFI Actuaries","500,514,140","379,650,907","120,863,233","75.9","124,907,596","96.8","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20062007","2006-01-01T00:00:00","EFI Actuaries","449,786,331","349,765,819","100,020,512","77.8","120,487,434","83","5","NULL"
"City of East Palo Alto Retirement Plan","7256","20032004","NULL","dcp",,,"0","NULL","6,130,698","0","NULL","NULL"
"AC Transit Employees' Retirement Plan","7159","20052006","2005-01-01T00:00:00","EFI Actuaries","417,662,007","322,625,824","95,036,183","77.2","117,267,338","81","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20042005","2004-01-01T00:00:00","EFI Actuaries","387,292,455","311,160,685","76,131,770","80.3","117,394,393","64.9","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20032004","2003-01-01T00:00:00","EFI Actuaries","347,614,231","296,723,729","50,890,502","85.4","123,941,457","41.1","5","NULL"
"AC Transit Employees' Retirement Plan","7159","20022003","2002-01-01T00:00:00","EFI Actuaries","314,358,517","290,753,007","23,605,510","92.5","113,753,995","20.8","5","NULL"
"Alameda County Employees' Retirement Association","7258","20152016","2015-12-31T00:00:00","The Segal Company","7,875,020,000","6,083,536,000","1,791,484,000","77.3","969,534,000","184.7","1","NULL"
"Alameda County Employees' Retirement Association","7258","20142015","2014-12-31T00:00:00","The Segal Company","7,592,000,000","5,681,000,000","1,911,000,000","74.8","948,848,000","201.4","1","NULL"
"Alameda County Employees' Retirement Association","7258","20132014","2013-12-31T00:00:00","The Segal Company","6,861,687,000","5,210,944,000","1,650,743,000","75.9","916,803,000","180","1","NULL"
"Alameda County Employees' Retirement Association","7258","20122013","2012-12-31T00:00:00","The Segal Company","6,613,000,000","4,884,000,000","1,729,000,000","73.9","906,500,000","190.7","1","NULL"
"Alameda County Employees' Retirement Association","7258","20112012","2010-12-31T00:00:00","The Segal Company","6,162,740,000","4,776,128,000","1,386,612,000","77.5","898,342,000","154.4","1","Level Percentage of Projected Covered Payroll"
"Alameda County Employees' Retirement Association","7258","20102011","2009-12-31T00:00:00","The Segal Company","5,899,311,000","4,789,000,000","1,110,311,000","81.2","882,606,000","125.8","1","NULL"
"Alameda County Employees' Retirement Association","7258","20092010","2008-12-31T00:00:00","The Segal Company","5,537,919,000","4,644,010,000","893,909,000","83.9","864,260,000","103.4","1","NULL"
"Alameda County Employees' Retirement Association","7258","20082009","2007-12-31T00:00:00","The Segal Co.","5,112,403,000","4,560,213,000","552,190,000","89.2","793,558,000","69.6","1","NULL"
"Alameda County Employees' Retirement Association","7258","20072008","2007-12-31T00:00:00","The Segal Company","5,112,403,000","4,560,213,000","552,190,000","89.2","793,558,000","69.6","1","NULL"
"Alameda County Employees' Retirement Association","7258","20062007","2006-12-31T00:00:00","The Segal Company","4,825,157,000","4,127,841,000","697,316,000","85.5","762,139,242","91.5","1","NULL"
"Alameda County Employees' Retirement Association","7258","20052006","2005-12-31T00:00:00","The Segal Company","4,548,213,000","3,781,843,000","766,370,000","83.2","709,783,368","108","1","NULL"
"Alameda County Employees' Retirement Association","7258","20042005","2004-12-31T00:00:00","The Segal Company","4,336,123,000","3,557,918,000","778,205,000","82.1","694,626,000","112","1","NULL"
"Alameda County Employees' Retirement Association","7258","20032004","2003-12-31T00:00:00","The Segal Company","3,890,043,000","3,381,757,000","508,286,000","86.9","714,344,000","71.2","1","NULL"
"Alameda County Employees' Retirement Association","7258","20022003","2002-12-31T00:00:00","Mercer Human Resource Consulting, Inc","3,559,613,000","3,294,053,000","265,560,000","92.5","640,777,306","41.4","1","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20152016","2015-07-01T00:00:00","Milliman","266,551,234","149,500,620","117,050,614","56.1","147,394,962","79.4","1","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20142015","2014-07-01T00:00:00","William H. Clark-Shim","244,717,116","133,184,810","111,532,306","54.4","145,246,760","76.7","1","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20132014","2013-07-01T00:00:00","William H. Clark-Shim","178,628,011","112,299,085","66,328,926","62.9","136,714,925","48.5","5","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20122013","2012-07-01T00:00:00","William H. Clark-Shim","163,941,625","102,307,703","61,633,922","62.4","138,940,618","44.3","5","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20112012","2011-07-01T00:00:00","William H. Clark-Shim","151,697,557","98,337,418","53,360,139","64.8","134,153,568","39.8","5","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20092010","2009-07-01T00:00:00","Milliman USA","129,052,135","95,831,233","33,220,902","74.3","107,653,212","30.9","5","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20082009","2008-07-01T00:00:00","Milliman USA","125,602,280","101,182,884","24,419,396","80.6","100,178,228","24.4","5","NULL"
"Civic San Diego Tax Deferred Annuity Plan","8180","20062007","NULL","dcp",,,"0","NULL","3,544,162","NULL","NULL","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20072008","2007-07-01T00:00:00","Milliman USA","119,177,736","94,655,687","24,522,049","79.4","93,458,358","23.9","5","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20062007","2006-07-01T00:00:00","Milliman USA","111,346,507","84,707,329","26,639,178","76.1","96,277,887","27.7","5","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20052006","2005-07-01T00:00:00","Milliman USA","101,190,902","78,609,905","22,580,997","77.7","98,599,453","26.9","5","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20042005","2004-07-01T00:00:00","Milliman USA","90,493,657","75,283,631","15,210,026","83.2","77,600,118","19.6","5","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20032004","2003-07-01T00:00:00","Milliman USA","77,825,134","74,230,808","3,594,326","95.4","63,670,685","5.6","5","NULL"
"Arcade Water District Money Purchase Pension Plan and Trust","7176","20042005","NULL","dcp",,,"0","NULL",,"NULL","NULL","NULL"
"Arcade Water District Money Purchase Pension Plan and Trust","7176","20032004","NULL","DCP",,,"0","NULL",,"NULL","NULL","NULL"
"Arcade Water District Money Purchase Pension Plan and Trust","7176","20022003","NULL","dcp",,,"0","NULL","1,337,322","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20152016","NULL","NULL",,,"0","NULL","3,179,488","0","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20142015","NULL","NULL",,,"0","NULL","3,148,697","0","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20122013","NULL","NULL",,,"0","NULL","2,863,468","0","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20112012","NULL","dcp",,,"0","NULL","2,945,389","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20102011","NULL","dcp",,,"0","NULL","2,893,553","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20092010","NULL","dcp",,,"0","NULL","2,825,549","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20082009","NULL","NULL",,,"0","NULL","2,795,471","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20072008","NULL","No Actuary - Defined Contribution Plan",,,"0","NULL","2,846,236","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20062007","NULL","No actuary - Defined Contribution Plan",,,"0","NULL","2,435,672","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20052006","NULL","No actuary - Defined Contribution Plan",,,"0","NULL","2,193,321","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20042005","NULL","No acturary - Defined contribution plan",,,"0","NULL","2,272,435","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20032004","NULL","Defined contribution plan",,,"0","NULL","2,245,668","NULL","NULL","NULL"
"City of East Palo Alto Retirement Plan","7256","20022003","NULL","dcp",,,"0","NULL","5,086,204","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20022003","NULL","No Actuary - Defined Contribution",,,"0","NULL","2,287,165","NULL","NULL","NULL"
"California Public Employees' Retirement System","7208","20152016","2015-06-30T00:00:00","CalPERS Actuarial Office","413,700,000,000","302,418,000,000","111,282,000,000","73.1","47,458,000,000","234.4","1","NULL"
"California Public Employees' Retirement System","7208","20142015","2014-06-30T00:00:00","CalPERS Actuarial Office","394,726,000,000","301,257,000,000","93,469,000,000","76.3","44,958,000,000","209.3","1","Level Percentage of Projected Covered Payroll"
"California Public Employees' Retirement System","7208","20132014","2013-06-30T00:00:00","CalPERS Actuarial  Office","375,019,000,000","281,928,000,000","93,091,000,000","75.2","42,575,000,000","218.7","1","NULL"
"California Public Employees' Retirement System","7208","20122013","2012-06-30T00:00:00","CalPERS Actuarial & Employer Services Branch","340,429,000,000","282,991,000,000","57,438,000,000","83.1","42,599,000,000","134.8","1","NULL"
"California Public Employees' Retirement System","7208","20112012","2011-06-30T00:00:00","CalPERS Actuarial & Employer Services Branch","328,567,000,000","271,389,000,000","57,178,000,000","82.6","43,901,000,000","130.2","1","NULL"
"California Public Employees' Retirement System","7208","20102011","2010-06-30T00:00:00","CalPERS Actuarial & Employer Services Branch","308,343,000,000","257,070,000,000","51,273,000,000","83.4","44,984,000,000","114","1","NULL"
"California Public Employees' Retirement System","7208","20092010","2009-06-30T00:00:00","CalPERS Actuarial & Employer Services Branch","294,042,000,000","244,964,000,000","49,078,000,000","83.3","45,100,000,000","108.8","1","NULL"
"California Public Employees' Retirement System","7208","20082009","2008-06-30T00:00:00","CalPERS Actuarial & Employer Services Division","268,324,000,000","233,272,000,000","35,052,000,000","86.9","44,236,000,000","79.2","1","NULL"
"California Public Employees' Retirement System","7208","20072008","2007-06-30T00:00:00","CalPERS Acturial & Employer Services Branch","248,224,000,000","216,484,000,000","31,740,000,000","87.2","40,864,000,000","77.7","1","NULL"
"California Public Employees' Retirement System","7208","20062007","2006-06-30T00:00:00","CalPERS Actuarial & Employer Services Division","228,131,000,000","199,033,000,000","29,098,000,000","87.2","23,392,103,160","76.5","1","NULL"
"California Public Employees' Retirement System","7208","20052006","2005-06-30T00:00:00","CalPERS Actuarial & Employer Services Division","210,301,000,000","183,680,000,000","26,621,000,000","87.3","22,904,473,611","116.2","1","NULL"
"California Public Employees' Retirement System","7208","20042005","2004-06-30T00:00:00","CalPERS Actuarial & Employer Services Branch","194,609,000,000","169,899,000,000","24,710,000,000","87.3","22,359,797,190","110.5","1","NULL"
"California Public Employees' Retirement System","7208","20032004","2003-06-30T00:00:00","CalPers Actuarial & Employer Services Division","180,922,000,000","158,596,000,000","22,326,000,000","87.7","34,784,000,000","64.2","1","NULL"
"California Public Employees' Retirement System","7208","20022003","2002-06-30T00:00:00","CalPers Actuarial & Employer Services Division","163,961,000,000","156,067,000,000","7,894,000,000","95.2","32,873,184,204","24","1","NULL"
"California State Teachers' Retirement System","7209","20152016","2015-06-30T00:00:00","Milliman","241,753,000,000","165,553,000,000","76,200,000,000","68.5","28,640,000,000","129.5","1","NULL"
"California State Teachers' Retirement System","7209","20142015","2014-06-30T00:00:00","Milliman","231,213,000,000","158,495,000,000","72,718,000,000","68.5","53,968,000,000","134.7","1","NULL"
"California State Teachers' Retirement System","7209","20132014","2013-06-30T00:00:00","Milliman","230,949,000,000","157,787,000,000","73,162,000,000","68.3","54,095,000,000","135.2","1","NULL"
"California State Teachers' Retirement System","7209","20122013","2012-06-30T00:00:00","Milliman","222,915,000,000","152,432,000,000","70,483,000,000","68.4","53,962,000,000","130.6","1","NULL"
"California State Teachers' Retirement System","7209","20112012","2011-06-30T00:00:00","Milliman","207,770,000,000","143,930,000,000","63,840,000,000","69.3","54,416,000,000","117.3","1","NULL"
"California State Teachers' Retirement System","7209","20102011","2010-06-30T00:00:00","Milliman USA","196,315,000,000","140,291,000,000","56,024,000,000","71.5","23,447,341,000","211.9","1","NULL"
"California State Teachers' Retirement System","7209","20092010","2009-06-30T00:00:00","Milliman USA","185,683,000,000","145,142,000,000","40,541,000,000","78.2","27,509,030,000","147.4","1","NULL"
"California State Teachers' Retirement System","7209","20082009","2008-06-30T00:00:00","Milliman USA","183,459,000,000","160,950,000,000","22,509,000,000","87.7","27,299,104,000","82.5","1","NULL"
"California State Teachers' Retirement System","7209","20072008","2007-06-30T00:00:00","Milliman USA","171,831,000,000","153,902,000,000","17,929,000,000","89.6","27,220,973,044","65.9","1","NULL"
"California State Teachers' Retirement System","7209","20062007","2006-06-30T00:00:00","Milliman","154,551,000,000","135,257,000,000","19,294,000,000","87.5","26,196,997,274","73.6","1","Entry Age and Traditional Unit Credit"
"California State Teachers' Retirement System","7209","20052006","2005-06-30T00:00:00","Milliman USA","145,000,980,000","124,959,095,000","20,041,885,000","86.2","25,242,523,314","79.4","1","Entry Age and Traditional Unit Credit"
"California State Teachers' Retirement System","7209","20042005","2004-06-30T00:00:00","Milliman USA","136,754,000,000","116,340,000,000","20,414,000,000","85.1","24,573,743,118","83.1","1","Entry Age and Traditional Unit Credit"
"California State Teachers' Retirement System","7209","20032004","2003-06-30T00:00:00","Milliman USA","133,169,000,000","110,008,000,000","23,161,000,000","82.6","24,710,709,818","93.7","1","Entry Age and Traditional Unit Credit"
"California State Teachers' Retirement System","7209","20022003","2001-06-30T00:00:00","Milliman USA","109,881,000,000","107,654,000,000","2,227,000,000","98","24,729,629,918","9","1","Entry Age and Traditional Unit Credit"
"CalPERS Replacement Benefit Fund (RBF)","8535","20082009","NULL","None",,,"0","NULL",,"NULL","NULL","NULL"
"CalPERS Replacement Benefit Fund (RBF)","8535","20072008","NULL","Defined Contribution Plan",,,"0","NULL",,"NULL","NULL","NULL"
"CalPERS Replacement Benefit Fund (RBF)","8535","20062007","NULL","Defined Contribution Plan",,,"0","NULL",,"NULL","NULL","NULL"
"CalPERS Replacement Benefit Fund (RBF)","8535","20052006","NULL","Defined Contribution Plan",,,"0","NULL",,"NULL","NULL","NULL"
"CalPERS Replacement Benefit Fund (RBF)","8535","20042005","NULL","Defined Contribution Plan",,,"0","NULL",,"NULL","NULL","NULL"
"CalPERS Replacement Benefit Fund (RBF)","8535","20032004","NULL","Defined Contribution Plan",,,"0","NULL",,"NULL","NULL","NULL"
"CalPERS Replacement Benefit Fund (RBF)","8535","20022003","NULL","Defined Contribution Plan",,,"0","NULL",,"NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20092010","NULL","dcp",,,"0","NULL",,"NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20082009","NULL","NULL",,,"0","NULL","0","NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20072008","NULL","NULL",,,"0","NULL","0","NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20062007","NULL","dcp",,,"0","NULL","0","NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20052006","NULL","dcp",,,"0","NULL",,"NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20042005","NULL","dcp",,,"0","NULL",,"NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20032004","NULL","DCP",,,"0","NULL","0","NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20022003","NULL","DCP",,,"0","NULL",,"NULL","NULL","NULL"
"City of Adelanto Employee Retirement Plan","7253","20032004","NULL","Defined contribution plan",,,"0","NULL",,"NULL","NULL","NULL"
"City of Adelanto Employee Retirement Plan","7253","20022003","NULL","None-defined contribution plan",,,"0","NULL","3,016,750","NULL","NULL","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20152016","2015-01-01T00:00:00","Bartel Associates, LLC","12,732,000","0","12,732,000","0","1,729,502","736.2","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20142015","2015-01-01T00:00:00","Bartel Associates, LLC","12,732,000","0","12,732,000","0","0","691.3","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20132014","2013-01-01T00:00:00","Bartel Associates LLC","13,642,000",,"13,642,000","0","0","723.1","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20122013","2011-01-01T00:00:00","Bartel Associates LLC","13,642,000","0","13,642,000","0","0","NULL","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20112012","2011-01-01T00:00:00","Bartel Associates, LLC","14,953,000",,"14,953,000","0","0","NULL","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20102011","2009-01-01T00:00:00","Bartel Associates, LLC","22,273,000",,"22,273,000","0","0","NULL","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20092010","2009-01-01T00:00:00","Bartel Associates, LLC","22,273,000",,"22,273,000","0","0","NULL","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20082009","2009-01-01T00:00:00","Bartel Associates, LLC","22,273,000",,"22,273,000","0","0","NULL","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20072008","2007-06-30T00:00:00","Bartel Associates, LLC","27,131,000",,"27,131,000","0","0","NULL","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20062007","2005-01-01T00:00:00","Bartel Associates, LLC","31,682,000",,"31,682,000","0","0","NULL","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20052006","2005-01-01T00:00:00","Bartel Associates, LLC","31,682,000",,"31,682,000","0","0","NULL","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20042005","2005-01-01T00:00:00","Bartel Associates, LLC","31,682,000",,"31,682,000","0","0","NULL","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20032004","2002-06-30T00:00:00","AON Consulting","35,083,000",,"35,083,000","0","0","NULL","5","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20022003","2002-06-30T00:00:00","AON Consulting","33,515,000","0","33,515,000","0","0","NULL","5","NULL"
"City of Albany Police and Fire Relief Pension Fund","7219","20152016","2015-06-30T00:00:00","Buck Consultants","13,597,656","8,298,142","5,299,514","61","1,351,708","392","1","NULL"
"City of Albany Police and Fire Relief Pension Fund","7219","20142015","2015-06-30T00:00:00","Bucks Consultant","13,597,656","8,298,142","5,299,514","61","1,411,164","375.5","1","NULL"
"City of Albany Police and Fire Relief Pension Fund","7219","20132014","2014-06-30T00:00:00","Bucks Consultants","12,493,334","9,577,360","2,915,974","76.7","0","NULL","1","NULL"
"City of Albany Police and Fire Relief Pension Fund","7219","20122013","2012-06-30T00:00:00","Buck Consultants","12,710,552","11,922,744","787,808","93.8","0","NULL","1","Life expectancies"
"City of Albany Police and Fire Relief Pension Fund","7219","20112012","2012-06-30T00:00:00","Buck Consultants","12,710,552","11,922,744","787,808","93.8","0","NULL","1","Life expectancies"
"City of Albany Police and Fire Relief Pension Fund","7219","20102011","2009-06-30T00:00:00","Buck Consultants","14,570,549","12,684,186","1,886,363","87.1","0","NULL","1","NULL"
"City of Albany Police and Fire Relief Pension Fund","7219","20092010","2009-06-30T00:00:00","Buck Consultants","14,570,549","12,684,186","1,886,363","87.1","0","NULL","1","NULL"
"City of Albany Police and Fire Relief Pension Fund","7219","20082009","2009-06-30T00:00:00","Buck Consultants","14,570,549","12,684,186","1,886,363","87.1","0","NULL","1","NULL"
"City of Albany Police and Fire Relief Pension Fund","7219","20072008","2008-09-30T00:00:00","Buck Consultants","12,258,000","10,939,000","1,319,000","89.2","0","NULL","1","NULL"
"City of Albany Police and Fire Relief Pension Fund","7219","20062007","2006-06-30T00:00:00","Buck Consultants","14,075,219","14,479,158","-403,939","102.9","0","NULL","5","NULL"
"City of Albany Police and Fire Relief Pension Fund","7219","20052006","2006-06-30T00:00:00","Buck Consultants","14,075,219","14,479,158","-403,939","102.9","0","NULL","5","NULL"
"City of Albany Police and Fire Relief Pension Fund","7219","20042005","2003-06-30T00:00:00","Mellon Consultants","14,950,360","14,415,847","534,513","96.4","0","NULL","5","NULL"
"City of Albany Police and Fire Relief Pension Fund","7219","20032004","2003-06-30T00:00:00","Mellon Consultants","14,950,360","14,415,847","534,513","96.4","0","NULL","5","NULL"
"City of Albany Police and Fire Relief Pension Fund","7219","20022003","2003-06-30T00:00:00","Mellon Consultants","14,950,360","14,415,847","534,513","96.4","32,055","1667.5","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20152016","2016-06-30T00:00:00","The Segal Group","891,159","942,613","-51,454","105.8","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20142015","2014-06-30T00:00:00","The Segal Group","1,292,739","1,111,005","181,734","85.9","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20132014","2014-06-30T00:00:00","The Segal Group","1,292,739","1,111,005","181,734","85.9","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20122013","2012-06-30T00:00:00","Aon Consulting","1,327,284","1,341,914","-14,630","101.1","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20112012","2012-06-30T00:00:00","Aon Consulting","1,327,284","1,341,914","-14,630","101.1","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20102011","2010-06-30T00:00:00","Aon Consulting","1,146,478","1,447,264","-300,786","126.2","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20092010","2010-06-30T00:00:00","Aon Consulting","1,146,478","1,447,264","-300,786","126.2","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20082009","2008-06-30T00:00:00","Aon Consulting","1,233,149","1,559,543","-326,394","126.5","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20072008","2008-06-30T00:00:00","Aon Consulting","1,233,149","1,559,543","-326,394","126.5","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20062007","2006-06-30T00:00:00","Aon Consulting","1,493,173","1,686,712","-193,539","113","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20052006","2006-06-30T00:00:00","Aon Consulting","1,493,173","1,686,712","-193,539","113","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20042005","2004-06-30T00:00:00","AON Consulting","2,119,131","1,937,190","181,941","91.4","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20032004","2004-06-30T00:00:00","Aon Consulting","2,119,131","1,937,190","181,941","91.4","0","NULL","5","NULL"
"City of Bakersfield Firemen's Disability and Retirement System","7234","20022003","2002-06-30T00:00:00","AON Consulting","2,453,467","2,271,247","182,220","92.6","0","NULL","5","NULL"
"City of Berkeley Safety Members' Pension Fund","7220","20152016","2016-11-08T00:00:00","Bartel Associates","3,764,006","662,934","3,101,072","17.6","0","360.7","8","CalPERS 2013 Experience Study"
"City of Berkeley Safety Members' Pension Fund","7220","20142015","2014-11-12T00:00:00","Aon Consulting","4,828,175","1,254,005","3,574,170","26","1,001,955","356.7","8","Unit Credit Actuarial Cost Method, see the actuarial report page 22"
"City of Berkeley Safety Members' Pension Fund","7220","20132014","2014-07-01T00:00:00","Aon Consulting","4,828,175","1,254,005","3,574,170","26","0","356.1","5","NULL"
"City of Berkeley Safety Members' Pension Fund","7220","20122013","2012-07-01T00:00:00","Aon Consulting","6,095,041","1,896,258","4,198,783","31.1","1,158,601","362.4","5","NULL"
"City of Berkeley Safety Members' Pension Fund","7220","20112012","2011-07-01T00:00:00","AON consulting","5,912,070","2,251,156","3,660,914","38.1","1,332,600","274.7","5","NULL"
"City of Berkeley Safety Members' Pension Fund","7220","20102011","2011-07-01T00:00:00","Avon Consulting","5,912,070","2,251,156","3,660,914","38.1","0","251.3","5","NULL"
"City of Berkeley Safety Members' Pension Fund","7220","20092010","2010-07-01T00:00:00","AON Consulting","6,895,254","2,630,250","4,265,004","38.1","1,660,658","256.8","5","NULL"
"City of Berkeley Safety Members' Pension Fund","7220","20082009","2009-07-01T00:00:00","AON Consulting","7,611,896","3,042,685","4,569,211","40","0","NULL","5","NULL"
"City of Berkeley Safety Members' Pension Fund","7220","20072008","2008-07-01T00:00:00","AON Consulting","8,153,217","3,496,713","4,656,504","42.9","0","NULL","5","NULL"
"City of Berkeley Safety Members' Pension Fund","7220","20062007","2007-07-01T00:00:00","AON Consulting","8,748,286","3,994,201","4,754,085","45.7","0","NULL","5","NULL"
"City of Berkeley Safety Members' Pension Fund","7220","20052006","2006-07-01T00:00:00","AON Consulting","10,509,882","4,540,267","5,969,615","43.2","0","NULL","5","NULL"
"City of Berkeley Safety Members' Pension Fund","7220","20042005","2005-07-01T00:00:00","AON Consulting","11,458,099","5,137,982","6,320,117","44.8","0","NULL","5","NULL"
"City of Berkeley Safety Members' Pension Fund","7220","20032004","2004-07-01T00:00:00","AON Consulting","12,973,380","5,803,177","7,170,203","44.7","0","NULL","5","NULL"
"City of Berkeley Safety Members' Pension Fund","7220","20022003","2003-07-01T00:00:00","AON Consulting","14,298,601",,"14,298,601","0","0","NULL","5","NULL"
"City of Concord Retirement System","7230","20152016","2014-06-30T00:00:00","Bartel Associates LLC","65,289,000","37,326,000","27,963,000","57.2","0","NULL","1","NULL"
"City of Concord Retirement System","7230","20142015","2014-06-30T00:00:00","Bartel Associates LLC","65,289,000","37,326,000","27,963,000","57.2","0","NULL","1","NULL"
